	is_monodominant	signature_name
NB.CTR1	False	
NB.CTR10	False	
NB.CTR12	False	
NB.CTR13	False	
NB.CTR14	False	
NB.CTR15	False	
NB.CTR16	False	
NB.CTR17	False	
NB.CTR19	False	
NB.CTR2	False	
NB.CTR20	False	
NB.CTR21	False	
NB.CTR22	False	
NB.CTR23	False	
NB.CTR25	False	
NB.CTR26	False	
NB.CTR28	False	
NB.CTR29	False	
NB.CTR3	False	
NB.CTR30	False	
NB.CTR31	False	
NB.CTR32	False	
NB.CTR33	False	
NB.CTR34	False	
NB.CTR35	False	
NB.CTR36	True	S5
NB.CTR37	True	S5
NB.CTR39	False	
NB.CTR4	False	
NB.CTR40	False	
NB.CTR41	False	
NB.CTR42	False	
NB.CTR43	False	
NB.CTR44	False	
NB.CTR45	False	
NB.CTR46	False	
NB.CTR47	False	
NB.CTR48	False	
NB.CTR49	False	
NB.CTR5	False	
NB.CTR50	False	
NB.CTR51	False	
NB.CTR52	False	
NB.CTR53	False	
NB.CTR54	False	
NB.CTR55	False	
NB.CTR56	False	
NB.CTR57	False	
NB.CTR58	False	
NB.CTR59	False	
NB.CTR6	False	
NB.CTR60	False	
NB.CTR61	False	
NB.CTR62	False	
NB.CTR63	False	
NB.CTR64	False	
NB.CTR65	False	
NB.CTR66	False	
NB.CTR67	False	
NB.CTR68	False	
NB.CTR69	False	
NB.CTR7	False	
NB.CTR71	False	
NB.CTR72	False	
NB.CTR73	False	
NB.CTR74	False	
NB.CTR75	False	
NB.CTR76	False	
NB.CTR77	False	
NB.CTR78	False	
NB.CTR79	False	
NB.CTR8	False	
NB.CTR80	False	
NB.CTR81	False	
NB.CTR82	False	
NB.CTR83	False	
NB.CTR84	False	
NB.CTR85	False	
NB.CTR86	False	
NB.CTR87	False	
NB.CTR88	False	
NB.CTR89	False	
NB.CTR9	False	
NB.CTR90	True	S5
NB.CTR91	False	
NB.CTR92	False	
NB.CTR93	False	
NB.CTR94	False	
NB.CTR95	False	
NB.CTR96	False	
NB.F.PZ18A	False	
NB.F.PZ28A	False	
NB.F.PZ28B	False	
NB.M.CTR1	False	
NB.M.CTR10	False	
NB.M.CTR12	False	
NB.M.CTR13	False	
NB.M.CTR14	False	
NB.M.CTR15	False	
NB.M.CTR16	False	
NB.M.CTR19	False	
NB.M.CTR2	False	
NB.M.CTR20	False	
NB.M.CTR21	False	
NB.M.CTR22	False	
NB.M.CTR23	False	
NB.M.CTR25	False	
NB.M.CTR26	False	
NB.M.CTR28	False	
NB.M.CTR29	False	
NB.M.CTR3	False	
NB.M.CTR30	False	
NB.M.CTR31	False	
NB.M.CTR32	False	
NB.M.CTR33	False	
NB.M.CTR34	False	
NB.M.CTR35	False	
NB.M.CTR36	False	
NB.M.CTR37	False	
NB.M.CTR39	False	
NB.M.CTR4	False	
NB.M.CTR40	False	
NB.M.CTR41	False	
NB.M.CTR42	False	
NB.M.CTR43	False	
NB.M.CTR44	False	
NB.M.CTR45	False	
NB.M.CTR46	False	
NB.M.CTR47	False	
NB.M.CTR48	False	
NB.M.CTR49	False	
NB.M.CTR5	False	
NB.M.CTR50	False	
NB.M.CTR51	False	
NB.M.CTR52	False	
NB.M.CTR53	False	
NB.M.CTR54	False	
NB.M.CTR55	False	
NB.M.CTR56	False	
NB.M.CTR57	False	
NB.M.CTR58	False	
NB.M.CTR59	False	
NB.M.CTR6	False	
NB.M.CTR60	False	
NB.M.CTR61	False	
NB.M.CTR62	False	
NB.M.CTR63	False	
NB.M.CTR64	False	
NB.M.CTR7	False	
NB.M.CTR8	False	
NB.M.CTR9	False	
NB.M.PZ1	False	
NB.M.PZ10	False	
NB.M.PZ11	False	
NB.M.PZ12	False	
NB.M.PZ13	False	
NB.M.PZ14	False	
NB.M.PZ15	False	
NB.M.PZ16	False	
NB.M.PZ17	False	
NB.M.PZ18	False	
NB.M.PZ19.1	False	
NB.M.PZ2	False	
NB.M.PZ20	False	
NB.M.PZ21	False	
NB.M.PZ22	False	
NB.M.PZ23	False	
NB.M.PZ24	False	
NB.M.PZ25	False	
NB.M.PZ26	False	
NB.M.PZ27	False	
NB.M.PZ28	False	
NB.M.PZ29	False	
NB.M.PZ3	False	
NB.M.PZ31	False	
NB.M.PZ32	False	
NB.M.PZ33	False	
NB.M.PZ4	False	
NB.M.PZ5	False	
NB.M.PZ6	False	
NB.M.PZ7	False	
NB.M.PZ8	False	
NB.M.PZ9	False	
NB.PZ1.E1	False	
NB.PZ1.T1.1	False	
NB.PZ1.T1.2	False	
NB.PZ1.T2.1	False	
NB.PZ10.E1	True	S4
NB.PZ11.E1	False	
NB.PZ11.T1.1	False	
NB.PZ11.T2.1	False	
NB.PZ12.E1	False	
NB.PZ13.E1	False	
NB.PZ13.T1.1	False	
NB.PZ13.T2.1	False	
NB.PZ14.E1	True	S6
NB.PZ14.T1.1	True	S6
NB.PZ14.T2.1	False	
NB.PZ14.T3.1	False	
NB.PZ15.E1	False	
NB.PZ15.T1.1	False	
NB.PZ15.T2.1	False	
NB.PZ15.T3.1	False	
NB.PZ16.E1	False	
NB.PZ16.T1.1	False	
NB.PZ17.E1	False	
NB.PZ18.E1	False	
NB.PZ18.T1.1	False	
NB.PZ18.T2.1	False	
NB.PZ18.T3.1	False	
NB.PZ19.E1	False	
NB.PZ19.T1.1	False	
NB.PZ19.T2.1	False	
NB.PZ19.T3.1	False	
NB.PZ20.E1	False	
NB.PZ21.E1	False	
NB.PZ22.E1	False	
NB.PZ23.E1	False	
NB.PZ23.T1.1	True	S5
NB.PZ23.T2.1	True	S5
NB.PZ24.E1	False	
NB.PZ24.T1.1	False	
NB.PZ25.E1	False	
NB.PZ26.E1	True	S6
NB.PZ26.T1.1	True	S6
NB.PZ26.T2.1	False	
NB.PZ26.T3.1	False	
NB.PZ27.E1	False	
NB.PZ28.E1	False	
NB.PZ28.T1.1	False	
NB.PZ29.E1	True	S5
NB.PZ29.T1.1	False	
NB.PZ3.E1	False	
NB.PZ3.T1.1	False	
NB.PZ3.T1.2	False	
NB.PZ30.E1	False	
NB.PZ32.E1	False	
NB.PZ32.T1.1	False	
NB.PZ33.E1	True	S5
NB.PZ4.E1	False	
NB.PZ4.T1.1	False	
NB.PZ4.T2.1	False	
NB.PZ4.T2.2	False	
NB.PZ5.E1	True	S1
NB.PZ6.E1	False	
NB.PZ6.T1.1	False	
NB.PZ7.E1	False	
NB.PZ8.E1	False	
NB.PZ8.T1.1	False	
NB.PZ9.E1	False	
NB.PZ9.T1.1	False	
FB233	False	
FB232	False	
FB231	False	
FB230	False	
FB227	False	
FB226	False	
FB225	False	
FB224	False	
FB223	False	
FB221	True	S4
FB220	False	
FB219	False	
FB218	False	
FB217	False	
FB216	False	
FB215	False	
FB214	False	
FB213	False	
FB211	True	S6
FB210	False	
FB209	False	
FB207	False	
FB206	False	
FB203	False	
FB201	True	S1
FB199	False	
FB197	True	S4
FB196	True	S4
FB195	False	
FB194	False	
FB193	False	
FB192	False	
FB190	False	
FB189	False	
FB186	True	S5
FB182	False	
FB165	False	
FB164	False	
FB163	False	
FB162	True	S1
FB161	False	
FB160	False	
FB159	False	
FB158	False	
FB156	False	
FB155	False	
FB154	False	
FB152	False	
FB151	False	
FB150	False	
FB149	False	
FB148	False	
FB147	False	
FB146	False	
FB145	False	
FB144	False	
FB143	False	
FB142	False	
FB141	False	
FB140	False	
FB139	False	
FB138	False	
FB137	False	
FB136	True	S1
FB135	False	
FB134	False	
FB133	False	
FB132	False	
FB131	False	
FB130	False	
FB128	False	
FB127	False	
FB126	False	
FB125	False	
FB124	False	
FB123	False	
FB122	False	
FB121	False	
FB120	False	
FB119	False	
FB118	True	S5
FB117	True	S1
FB116	False	
FB115	False	
FB114	False	
FB113	False	
FB112	False	
FB111	False	
FB110	False	
FB109	False	
FB108	False	
FB107	False	
FB106	False	
FB105	False	
FB104	False	
FB103	False	
FB102	False	
FB101	False	
FB100	False	
FB099	True	S4
FB097	False	
FB096	False	
FB095	False	
FB094	False	
FB093	False	
FB092	False	
FB091	True	S4
FB090	False	
FB089	False	
FB088	False	
FB087	False	
FB086	False	
FB085	False	
FB084	False	
FB083	False	
FB082	False	
FB081	False	
FB080	False	
FB079	False	
FB078	False	
FB077	False	
FB076	False	
FB074	False	
FB073	True	S6
FB072	False	
FB069	False	
