L5	S1	S2	S3	S4	S5	S6
Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia	0.00037082863834436046	9.087662466737134e-05	6.130116077425058e-05	0.0	0.014689004411006935	0.03157269102954919
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA10281	0.0	0.02113438554687212	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;Scatosoma	0.0024285319216334022	0.004476490311828673	0.0	2.762113938955689e-08	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-552;UBA10677	0.00027455046421243263	0.006070988630417716	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;Borkfalkia	0.009954105446308398	0.007800270738138846	0.0	0.00024852060058029146	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-917;CAG-475	0.0	0.106874513118951	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Scatomorpha	0.025079497877734933	2.8836932966322454e-08	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus	0.0023897080171260614	0.038809173744953136	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;Flemingibacterium	0.00034938325881810794	0.001528178133682137	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	0.0	0.0	0.014647709697549065	0.0	0.20223281936137588	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA1394	0.04569454394582442	0.001047090208699228	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA5884	1.9532593929640066e-11	0.007468315409693589	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-964	0.005602871433647067	0.007147194616491932	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;QALR01	0.0	0.004809620685609361	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-557	1.412473112299445e-09	0.006657478557207907	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Angelakisella	0.0019611591821482497	0.0825152767469828	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Hydrogeniiclostridium	0.0009770423572878924	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;UBA7185	0.0002902348906186594	0.00012219056346511473	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Caproicibacterium	0.0	0.0	0.0	5.364721032506855e-07	0.00027973199671157685	0.00022959175040994254
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E	0.15814781424862365	0.1238589532076471	0.0	0.03150841926036144	0.0	0.0
