L5	S1	S2	S3	S4	S5	S6
Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia	0.007926279821545574	0.0019424431715067692	0.0013102821719800778	0.0	0.3139702472316587	0.6748507476033089
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA10281	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;Scatosoma	0.35170374910690183	0.6482922507569702	0.0	4.000136128075948e-06	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-552;UBA10677	0.04326668863245494	0.956733311367545	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;Borkfalkia	0.5529168758322786	0.43327864572473107	0.0	0.01380447844299027	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-917;CAG-475	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Scatomorpha	0.9999988501803365	1.1498196634411371e-06	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus	0.05800419610722607	0.9419958038927739	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;Flemingibacterium	0.1860835337867986	0.8139164662132014	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	0.0	0.0	0.06753814997181874	0.0	0.9324618500281813	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA1394	0.9775983397320334	0.022401660267966705	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA5884	2.6153948791720896e-09	0.9999999973846051	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-964	0.43943862028746006	0.56056137971254	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;QALR01	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-557	2.1216332887699564e-07	0.9999997878366711	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Angelakisella	0.0232154583769787	0.9767845416230213	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Hydrogeniiclostridium	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;UBA7185	0.7037269105114576	0.29627308948854236	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Caproicibacterium	0.0	0.0	0.0	0.0010521944702145585	0.5486444836526028	0.45030332187718264
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E	0.5044343015879614	0.39506524230864737	0.0	0.10050045610339137	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Limenecus	0.5219833184511044	0.0	0.0	0.4780166815488957	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Fimenecus	0.5124424086132309	0.4029204317105082	0.08463715967626094	0.0	0.0	0.0
Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Victivallaceae;Victivallis	0.12073264388115891	0.8792673556932109	0.0	4.2563021261536923e-10	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R	0.7709598450968832	0.22735586765672466	0.001684287246392106	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;G3-4614;Caccoplasma	0.0	0.0	0.0	1.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus	0.8093682967511313	0.1906317032064727	4.239604536284157e-11	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;HGM13222	0.38968353054987886	0.6103164694501212	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Fimivivens	0.19828155446216378	0.8017184455378362	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-488	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;CAG-115	0.6263200727935995	0.37364269995354227	0.0	3.722725285838545e-05	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Fimivicinus	0.9832063882274945	0.0	0.0	5.961717635817278e-12	0.0	0.016793611766543853
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;QAKW01;RGIG9041	0.7709676828052487	0.2290323171947512	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;BX7;Galloscillospira_B	0.07497312098932346	0.9250268790106765	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;QAMH01;CACZQA01	0.3030067525085575	0.6969932474914424	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;UMGS124;?	0.23032136768576889	0.4310656290730498	0.3386130032411814	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS1484	0.026449703708289862	0.9735502962917101	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Fournierella	0.18372506553758552	0.0350878017342165	0.0	0.0	0.0	0.7811871327281981
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;SFEL01	0.004926327139961604	0.9950736728600383	0.0	0.0	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Zag111	0.0	0.7737667610437028	0.22623323895629713	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;UMGS1781	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia	0.965260702408093	0.0	0.0	0.034739297591906915	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	0.2901431142731958	0.013901782380743506	0.34796965179692996	2.628852703804252e-11	0.34798545152284244	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;Phil1	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Fimisoma	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;VUNA01	0.01921566697150924	0.9572268808740755	0.023557452154415345	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Emergencia	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Stercorousia	0.09935702750969017	0.8501417040421836	0.05050126844810104	2.52624731663028e-14	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Scatousia	0.03551440362794202	0.9644855963720579	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter	0.9990984604246325	0.0	0.0	0.0009015395753674543	0.0	0.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;CAG-312;Merdousia	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.0	0.0	0.023100584428121355	0.0	0.9768994155718786	0.0
Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;UBA1436	0.0	0.9999999999991739	8.260305713152383e-13	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA4372	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Tractidigestivibacter	0.3346933678002449	0.311928434346563	0.1139272115475013	0.0	0.23945098630569084	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA1381;Avimonoglobus	0.08813028972436678	0.9118697102756332	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;CAG-1000	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA1381;Ornithomonoglobus	0.0030950158152770026	0.9969049841847231	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Granulicatella	0.1790698935834836	0.0446246022781299	0.0048835386643550785	0.0	0.2041988493580862	0.5672231161159452
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes_A	0.6805076620172134	0.3071990061051409	0.011760102702931496	0.0005332291747142034	0.0	0.0
