	model_fit
NB.CTR1	0.8362641740427894
NB.CTR10	0.29780611627967835
NB.CTR12	0.5611794512060423
NB.CTR13	0.8095385030965897
NB.CTR14	0.6751375895071294
NB.CTR15	0.47699315578979506
NB.CTR16	0.8239319912711948
NB.CTR17	0.8541752784042163
NB.CTR19	0.8396597265624948
NB.CTR2	0.922793638916676
NB.CTR20	0.8668973855489805
NB.CTR21	0.7965520950349313
NB.CTR22	0.8661167293574105
NB.CTR23	0.6623822612852109
NB.CTR25	0.7275696650652241
NB.CTR26	0.8849938530759488
NB.CTR28	0.39147274090894296
NB.CTR29	0.744741804881604
NB.CTR3	0.8522948352144963
NB.CTR30	0.8840303890631278
NB.CTR31	0.9882780562063785
NB.CTR32	0.6795678374143361
NB.CTR33	0.9631345975863795
NB.CTR34	0.9155798785359823
NB.CTR35	0.8681034169954667
NB.CTR36	0.9836198098982962
NB.CTR37	0.9844401208890592
NB.CTR39	0.9678352482528257
NB.CTR4	0.5405175843858582
NB.CTR40	0.7125199480376616
NB.CTR41	0.8317571087572754
NB.CTR42	0.9522994590830084
NB.CTR43	0.6527885942461471
NB.CTR44	0.9578254901512767
NB.CTR45	0.3919849558531173
NB.CTR46	0.8050109628839732
NB.CTR47	0.9131365208469185
NB.CTR48	0.8715368960750924
NB.CTR49	0.5674024152928552
NB.CTR5	0.8515937356764713
NB.CTR50	0.8513032252826309
NB.CTR51	0.735606083886998
NB.CTR52	0.297809229044956
NB.CTR53	0.9805060794619695
NB.CTR54	0.7237363414783508
NB.CTR55	0.8940161709235546
NB.CTR56	0.5922709243071271
NB.CTR57	0.8506442626786554
NB.CTR58	0.7505181676162
NB.CTR59	0.80807511927905
NB.CTR6	0.5673870247830692
NB.CTR60	0.8680009979330799
NB.CTR61	0.8197504188571882
NB.CTR62	0.6042683473506874
NB.CTR63	0.6329215239460231
NB.CTR64	0.6743732601592378
NB.CTR65	0.6472207814519189
NB.CTR66	0.7865961958542775
NB.CTR67	0.8698329033571911
NB.CTR68	0.8211565387873232
NB.CTR69	0.7100595201281038
NB.CTR7	0.39407776892651036
NB.CTR71	0.5739251823547149
NB.CTR72	0.06970559775499206
NB.CTR73	0.30449596572340193
NB.CTR74	0.7852045429386615
NB.CTR75	0.824971809106604
NB.CTR76	0.8352006781543648
NB.CTR77	0.8858665869477435
NB.CTR78	0.8483299180147242
NB.CTR79	0.8719161635361145
NB.CTR8	0.7078532389709088
NB.CTR80	0.8546408796457533
NB.CTR81	0.792525150800614
NB.CTR82	0.6971631419057719
NB.CTR83	0.48447400468159935
NB.CTR84	0.9316327189658676
NB.CTR85	0.821195699638608
NB.CTR86	0.8135353273588599
NB.CTR87	0.7208493709179712
NB.CTR88	0.665711771164888
NB.CTR89	0.8735221015238595
NB.CTR9	0.8195861157376523
NB.CTR90	0.9873059844733868
NB.CTR91	0.78666305389307
NB.CTR92	0.39355586029445894
NB.CTR93	0.9819726008707576
NB.CTR94	0.9519541104424805
NB.CTR95	0.9190462828318154
NB.CTR96	0.703762281280662
NB.F.PZ18A	0.8043143545540655
NB.F.PZ28A	0.8413147996824657
NB.F.PZ28B	0.6343923033967499
NB.M.CTR1	0.6884749595768831
NB.M.CTR10	0.2844731520907904
NB.M.CTR12	0.7408984716967243
NB.M.CTR13	0.7978616955646199
NB.M.CTR14	0.39870152192784775
NB.M.CTR15	0.8883378066422347
NB.M.CTR16	0.9133470046889123
NB.M.CTR19	0.6288306638885064
NB.M.CTR2	0.7819822493066192
NB.M.CTR20	0.5839922956568024
NB.M.CTR21	0.535746936950828
NB.M.CTR22	0.6267341726256455
NB.M.CTR23	0.6688017406320238
NB.M.CTR25	0.8087550208902059
NB.M.CTR26	0.5369131816495557
NB.M.CTR28	0.561181028080866
NB.M.CTR29	0.4447387791530114
NB.M.CTR3	0.46577552410958684
NB.M.CTR30	0.8320673402125547
NB.M.CTR31	0.8641523550439365
NB.M.CTR32	0.8209647977718955
NB.M.CTR33	0.7400119353034298
NB.M.CTR34	0.5457996779206467
NB.M.CTR35	0.8375761036658352
NB.M.CTR36	0.9083024507593963
NB.M.CTR37	0.6743581965703319
NB.M.CTR39	0.7049273566139044
NB.M.CTR4	0.501569931425655
NB.M.CTR40	0.5782146884788778
NB.M.CTR41	0.8178798898774113
NB.M.CTR42	0.6417605492647528
NB.M.CTR43	0.6844643802907724
NB.M.CTR44	0.3228652254768027
NB.M.CTR45	0.9617072919030518
NB.M.CTR46	0.829251882381632
NB.M.CTR47	0.648851643269445
NB.M.CTR48	0.8376000603996255
NB.M.CTR49	0.9286094016628452
NB.M.CTR5	0.8644921709941757
NB.M.CTR50	0.9590132952421799
NB.M.CTR51	0.8799680342553139
NB.M.CTR52	0.7170910168587952
NB.M.CTR53	0.6132636355599099
NB.M.CTR54	0.6030793955513161
NB.M.CTR55	0.7528007899683585
NB.M.CTR56	0.572467907071449
NB.M.CTR57	0.7380989634421318
NB.M.CTR58	0.701441676117111
NB.M.CTR59	0.6748413841582067
NB.M.CTR6	0.841842133258464
NB.M.CTR60	0.34024093070181644
NB.M.CTR61	0.8170277599559008
NB.M.CTR62	0.7344220147232808
NB.M.CTR63	0.8829749444966652
NB.M.CTR64	0.6740832978505473
NB.M.CTR7	0.7678544739932806
NB.M.CTR8	0.7018336358512625
NB.M.CTR9	0.29123281709014054
NB.M.PZ1	0.43848485159186806
NB.M.PZ10	0.7061818472581609
NB.M.PZ11	0.775719348737411
NB.M.PZ12	0.4833336335766872
NB.M.PZ13	0.7566373259822553
NB.M.PZ14	0.25649034716662683
NB.M.PZ15	0.6408941339349262
NB.M.PZ16	0.7802754740358664
NB.M.PZ17	0.8597852077143376
NB.M.PZ18	0.8915102245413925
NB.M.PZ19.1	0.9216719212475132
