L5	S1	S2	S3	S4	S5	S6	S7
Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia	0.0013527996844560687	0.03276101204637528	0.00046943310092735843	0.0	0.015086183290121881	0.00012722864796835552	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA10281	0.0	0.0	0.0	0.01170938505123982	0.0	0.00731998000358451	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;Scatosoma	0.0	0.0	8.389680053444624e-05	0.006744233931154533	0.0	0.0	3.5771391311512746e-12
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-552;UBA10677	0.0	0.0	0.0	0.005444936296212468	0.0	1.3602877533365922e-15	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;Borkfalkia	0.0	0.0	0.009872517196183539	0.008182313998591357	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-917;CAG-475	0.0	0.0	0.0	0.08971925073304435	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Scatomorpha	0.0	0.0	6.2393759987798045e-12	0.0318300088034262	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus	0.0	0.0	0.0	0.03458141789980697	0.0	0.001251177551562648	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;Flemingibacterium	0.0	0.0	0.0	0.0015642665006822033	0.0	0.00019661696112158232	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	0.0	0.0	0.0	0.0	0.23047601888028796	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA1394	0.0	0.0	0.00500801397769866	0.05314617467589002	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA5884	0.0	0.0	0.0	0.002803974514432419	0.0	0.004205134728976337	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-964	0.0	0.0	2.3137211007331286e-12	0.013098048948614716	0.0	1.5597055064416836e-05	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;QALR01	0.0	0.0	0.0	0.004037590924440028	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-557	0.0	0.0	0.0	0.005588836496955936	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Angelakisella	0.0	0.0	0.0	0.07174777427638052	0.0	1.3788035851151994e-05	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Hydrogeniiclostridium	0.0	0.0	0.0006296954105279175	0.0005199667513209498	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;UBA7185	0.0	0.0	7.103250189685157e-05	0.000389706331832793	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Caproicibacterium	0.0	0.0	0.00019863919969909157	0.0	0.0002707329105617073	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E	0.0	0.0	2.5554877060440975e-14	0.34146136622039674	0.0	0.0	3.0919871548399104e-08
