L5	S1	S2	S3	S4	S5	S6	S7
Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia	0.02716647606903536	0.6578958141264523	0.009427000352593801	0.0	0.3029557458013189	0.0025549636505997407	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA10281	0.0	0.0	0.0	0.6153324095420227	0.0	0.3846675904579772	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;Scatosoma	0.0	0.0	0.012286935295648884	0.9877130641804684	0.0	0.0	5.238826363818677e-10
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-552;UBA10677	0.0	0.0	0.0	0.9999999999997502	0.0	2.4982620169174014e-13	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;Borkfalkia	0.0	0.0	0.5468075048544715	0.4531924951455284	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-917;CAG-475	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Scatomorpha	0.0	0.0	1.9602181187223363e-10	0.9999999998039781	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus	0.0	0.0	0.0	0.9650826981467002	0.0	0.034917301853299734	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;Flemingibacterium	0.0	0.0	0.0	0.8883418662356138	0.0	0.11165813376438607	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA1394	0.0	0.0	0.08611613528872812	0.9138838647112719	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA5884	0.0	0.0	0.0	0.4000471981613395	0.0	0.5999528018386605	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-964	0.0	0.0	1.764361413809533e-10	0.9988106238820988	0.0	0.0011893759414650265	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;QALR01	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-557	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Angelakisella	0.0	0.0	0.0	0.9998078632152522	0.0	0.00019213678474781255	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Hydrogeniiclostridium	0.0	0.0	0.5477221321394556	0.45227786786054436	0.0	0.0	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;UBA7185	0.0	0.0	0.15417085927367805	0.845829140726322	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Caproicibacterium	0.0	0.0	0.42320196568288	0.0	0.57679803431712	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E	0.0	0.0	7.483972500101212e-14	0.9999999094483378	0.0	0.0	9.055158740446223e-08
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Limenecus	0.0	0.0	0.0013811283227841641	0.4427850295987467	0.0	0.0	0.5558338420784692
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Fimenecus	0.0	0.0	0.00117793565262159	0.8680515429413742	0.0	0.13077052140600415	0.0
Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Victivallaceae;Victivallis	0.0	0.0	0.0	0.9921907070186696	0.0	0.00780929298133029	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R	0.0	0.0	0.5184461493597581	0.4322163438064878	0.0	0.04933750683373719	1.6988559151426217e-14
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;G3-4614;Caccoplasma	0.0	0.0	3.768863920575223e-09	0.0	0.0	0.0	0.9999999962311361
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus	0.0	0.0	0.46959137211990837	0.5239548938480565	0.0	0.006453439499928325	2.9453210689843445e-07
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;HGM13222	0.0	0.0	0.03549004550595236	0.9645099544940476	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Fimivivens	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-488	0.0	0.0	0.0	0.6141686351186143	0.0	0.3858313648813857	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;CAG-115	0.0	0.0	0.017022308171719378	0.9521836037486088	0.0	0.0013587191452388999	0.02943536893443279
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Fimivicinus	0.0	0.0	0.9999987042224131	1.2957770438431315e-06	0.0	0.0	5.42927792861223e-13
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;QAKW01;RGIG9041	0.0	0.0	0.33097962439878853	0.6690203756012114	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;BX7;Galloscillospira_B	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;QAMH01;CACZQA01	0.0	0.0	0.032621898015155845	0.8506469838752606	0.0	0.11673111810958352	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;UMGS124;?	0.0	0.0	0.3151161136199219	0.0	0.0	0.684883886380078	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS1484	0.0	0.0	0.0	0.5603392756680795	0.0	0.4396607243319206	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Fournierella	0.0004407039735345314	0.0	0.8756375380321427	0.12392175799432276	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;SFEL01	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Zag111	0.0	0.0	0.0	2.0838611109937397e-06	0.0	0.999997916138889	0.0
Bacteria;Firmicutes_A;Clostridia;TANB77;CAG-508;UMGS1781	0.0	0.0	0.0	0.8566599736234284	0.0	0.14334002637657167	0.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia	0.0	0.0	0.6526302620973315	0.3183676178784267	0.0	0.0	0.02900212002424175
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	0.0	0.0	0.34516101669684496	0.025103726915483314	0.5753479296897253	0.054387326697946596	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;Phil1	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Fimisoma	0.0	0.0	0.8787267140123928	0.12127328598760724	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;VUNA01	0.0	0.0	0.02688402109443507	0.06555931737184277	0.0	0.9075566615337222	0.0
Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Emergencia	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Stercorousia	0.0	0.0	3.752605145944878e-08	0.3804498967531954	0.0	0.6129066768724858	0.006643388848267392
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Scatousia	0.00012116524410173932	0.0	0.0	0.22878491309689764	0.0	0.7710939216590007	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter	0.0	0.0	0.9355962168928208	0.06440378310717922	0.0	0.0	0.0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;CAG-312;Merdousia	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	4.044949050720322e-10	2.0892423282227945e-11	1.5971964306835366e-15	0.0	0.9999999995746055	5.703351906436837e-15	0.0
Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;UBA1436	0.0	0.0	0.0	2.4002733279795406e-12	0.0	0.9999999999975997	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA4372	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Tractidigestivibacter	0.0	0.0	0.15647525514818955	0.4867194236039944	0.3568053212478161	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA1381;Avimonoglobus	0.0	0.0	1.202253560669363e-05	0.9999879774643934	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;UBA660;CAG-1000	0.0	0.0	0.0	0.8876031405333582	0.0	0.11239685946664182	0.0
Bacteria;Firmicutes_A;Clostridia;UBA1381;UBA1381;Ornithomonoglobus	0.0	0.0	0.0	0.4332616817878603	0.0	0.5667383182121397	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Granulicatella	0.1731127088144196	0.56116042728778	0.19725126934035486	0.0	0.016816166720213646	0.05165942783723186	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes_A	0.0	0.0	0.08381029531310714	0.8656317526091037	0.0	1.828159037100864e-07	0.05055776926188546
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	1.8426920522375996e-06	0.4206612409540005	0.5524044083900217	0.0	0.0	0.026932507963925472	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	0.015015140167707658	0.3945045390916656	0.556763254532959	0.0	0.03371706620766763	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;QALW01;QALW01	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdisoma	0.0	0.0	0.35969482910536227	0.49790790798224754	0.0	0.14239726288393464	2.8455731739018855e-11
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;CAJFUR01	0.0	0.0	0.9210018313277671	0.07899816867223289	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes	0.0	0.0	0.9683202117980658	0.001325398143125801	0.0	0.01506366188178687	0.015290728177021502
Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;UMGS1820	0.0	0.0	0.0	0.2814405175203683	0.0	0.7185594824796316	0.0
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Copromonas	0.0	0.0	0.5796320106920395	4.874809796310794e-09	0.09788162780320829	0.2011666118402455	0.12131974478969704
Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Cellulosilyticaceae;Niameybacter	0.0911301230544003	0.9088613074971875	8.569448412235122e-06	0.0	0.0	0.0	0.0
