L5	S1	S2	S3	S4	S5	S6	S7	S8
Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia	0.01986185301134938	1.3186788126603496e-06	0.00010038726570840523	9.345798507067608e-06	0.0	0.0002117321654460717	0.0029254922057853263	0.032288147217158766
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA10281	0.0	0.0	0.02043462725041343	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;Scatosoma	0.0	0.0	0.005169130632153385	0.0018356717936452043	0.0	0.0	0.00022847338638928686	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-552;UBA10677	0.0	0.0	0.006271312013389824	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;Borkfalkia	0.0	0.0	0.021183209083497332	2.910337029439608e-05	0.0008600778394305607	0.0	2.6970404232696162e-05	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-917;CAG-475	0.0	0.0	0.10333590410336797	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Scatomorpha	0.0	0.0	0.007226984467093767	0.0	0.0	0.0	0.039045540538617945	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus	0.0	0.0	0.041017439614306046	0.0	0.0	0.0	1.983426408990489e-09	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;Flemingibacterium	0.0	0.0	0.0016518710457647738	0.00024343467932856167	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	0.25063323332064735	0.0004000510624676996	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA1394	0.0	0.0	0.009708946859070349	0.04016465470935554	0.0	0.0	0.003436560644713966	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA5884	0.0	0.0	0.007221039942258075	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-964	0.0	0.0	0.007080857063197472	0.005803006669677396	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;QALR01	0.0	0.0	0.004650374419844491	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-557	0.0	0.0	0.006437051887752178	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Angelakisella	0.0	0.0	0.08264999171669393	3.3762020128008712e-12	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Hydrogeniiclostridium	0.0	0.0	0.0	0.0009515770672070588	0.0	0.0	0.00015006563431167936	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;UBA7185	0.0	0.0	0.00014845856645162266	0.00028505119945918623	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Caproicibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0007735886582120331	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E	0.0	0.0	0.211952837501551	0.10309937802464628	0.02824211515329839	0.0	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Limenecus	0.0	0.0	0.0	0.0029444221633270493	0.0034570425034408246	0.0	1.0713741658214996e-08	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Fimenecus	0.0	0.02802278185494329	0.21604543371997165	0.23481943694349486	0.0	0.0	0.0	0.0
Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Victivallaceae;Victivallis	0.0	0.0	0.009404060070083433	0.0009419712290736912	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R	0.0	7.724345564318095e-14	0.06304242207171142	0.2192288888387449	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;G3-4614;Caccoplasma	0.0	0.0	0.0	0.0	0.0	0.0	0.00025994566993339547	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus	0.0	2.4840957261156597e-13	0.004091025234209273	0.010747643531330906	0.0	0.0	0.002544707903596536	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;HGM13222	0.0	0.0	0.0008745465096566599	0.00015401591349743597	0.0	0.0	0.00037878999874729806	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Fimivivens	0.0	0.0	0.0006388880137660806	1.3810553300404659e-05	0.0	0.0	0.00026379189787325777	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-488	0.0	0.0	0.04588116411213269	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;CAG-115	0.0	0.0	0.025858568947403023	0.04366785459380577	1.1689502652198764e-10	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Fimivicinus	0.0	0.0	0.0	0.01630270584752474	0.0	0.0	0.045329960277856615	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;QAKW01;RGIG9041	0.0	0.0	4.213516190090433e-05	8.906686923203229e-05	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;BX7;Galloscillospira_B	0.0	0.0	0.0005937832207873981	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;QAMH01;CACZQA01	0.0	0.0	0.0006054342610370739	0.00027936958383258613	0.0	0.0	0.0	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;UMGS124;?	0.0	0.0	8.228985371038325e-05	3.080748857151913e-05	0.0	0.0	8.443739828908717e-06	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS1484	0.0	0.0	0.0027099032793471136	3.683430530156437e-05	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Fournierella	0.0	0.0	5.81816117259066e-05	0.0	0.0	0.0	0.011966205456055742	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-138;SFEL01	0.0	0.0	0.0749524308839236	0.0	0.0	0.0	0.0	0.0
Bacteria;Cyanobacteria;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Zag111	0.0	0.0187504236816784	0.06660620432683649	0.0	0.0	0.0	0.0	0.0
