L5	S1	S2	S3	S4	S5	S6	S7	S8
Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Pauljensenia	0.35852835724450066	2.3803607254876354e-05	0.0018121008871697672	0.0001687019727697307	0.0	0.00382199915636389	0.05280836153970436	0.5828366755922367
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA10281	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;Scatosoma	0.0	0.0	0.7146320375954057	0.2537815287718113	0.0	0.0	0.03158643363278299	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-552;UBA10677	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;Borkfalkiaceae;Borkfalkia	0.0	0.0	0.958543976610909	0.0013169326793126507	0.03891867512391928	0.0	0.001220415585859103	0.0
Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-917;CAG-475	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Scatomorpha	0.0	0.0	0.1561830582230318	0.0	0.0	0.0	0.8438169417769682	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus	0.0	0.0	0.9999999516443169	0.0	0.0	0.0	4.83556831370033e-08	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;Flemingibacterium	0.0	0.0	0.8715591494788665	0.12844085052113352	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	0.9984063823908818	0.0015936176091181625	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA1394	0.0	0.0	0.18212187800616544	0.7534146031815259	0.0	0.0	0.06446351881230863	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA5884	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-964	0.0	0.0	0.5495911172305973	0.4504088827694028	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;QALR01	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-557	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Angelakisella	0.0	0.0	0.9999999999591506	4.0849393236914484e-11	0.0	0.0	0.0	0.0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Hydrogeniiclostridium	0.0	0.0	0.0	0.8637801220806011	0.0	0.0	0.13621987791939894	0.0
Bacteria;Firmicutes_B;Peptococcia;Peptococcales;Peptococcaceae;UBA7185	0.0	0.0	0.3424572596183838	0.6575427403816162	0.0	0.0	0.0	0.0
